fullname,raceChar,pleaSuccess,n,prop
Beckman Stephanie L.,White,1,165,0.7021276595744681
Beiers Leslie E.,Non-white,0,28,0.24778761061946902
Beiers Leslie E.,Non-white,1,85,0.7522123893805309
Beiers Leslie E.,White,0,30,0.22058823529411764
Beiers Leslie E.,White,1,106,0.7794117647058824
Belois Patricia L.,Non-white,0,1,0.07142857142857142
Belois Patricia L.,Non-white,1,13,0.9285714285714286
Belois Patricia L.,White,1,5,1
Benshoof Paul T.,Non-white,0,180,0.2727272727272727
Benshoof Paul T.,Non-white,1,480,0.7272727272727273
Benshoof Paul T.,White,0,120,0.23346303501945526
Benshoof Paul T.,White,1,394,0.7665369649805448
Benson Beverly J.,Non-white,1,3,1
Benson Beverly J.,White,1,1,1
Benson Daniel A.,Non-white,0,8,0.2222222222222222
Benson Daniel A.,Non-white,1,28,0.7777777777777778
Benson Daniel A.,White,0,51,0.25888324873096447
Benson Daniel A.,White,1,146,0.7411167512690355
Benson Robert R.,Non-white,0,6,0.2727272727272727
Benson Robert R.,Non-white,1,16,0.7272727272727273
Benson Robert R.,White,0,81,0.23964497041420119
Benson Robert R.,White,1,257,0.7603550295857988
Benson Sharon G.,Non-white,0,12,0.27906976744186046
Benson Sharon G.,Non-white,1,31,0.7209302325581395
Benson Sharon G.,White,0,36,0.21818181818181817
Benson Sharon G.,White,1,129,0.7818181818181819
Bentz Darci J.,Non-white,0,12,0.2608695652173913
Bentz Darci J.,Non-white,1,34,0.7391304347826086
Bentz Darci J.,White,0,29,0.15675675675675677
Bentz Darci J.,White,1,156,0.8432432432432433
Berger Robert F.,Non-white,0,1,0.2
Berger Robert F.,Non-white,1,4,0.8
Berger Robert F.,White,0,1,0.1
Berger Robert F.,White,1,9,0.9
Bernhardson Ivy S.,Non-white,0,19,0.21348314606741572
Bernhardson Ivy S.,Non-white,1,70,0.7865168539325843
Bernhardson Ivy S.,White,0,14,0.2857142857142857
Bernhardson Ivy S.,White,1,35,0.7142857142857143
Betters Mark E.,Non-white,0,11,0.2
Betters Mark E.,Non-white,1,44,0.8
Betters Mark E.,White,0,31,0.248
Betters Mark E.,White,1,94,0.752
Bibus Thomas,Non-white,0,43,0.2107843137254902
Bibus Thomas,Non-white,1,161,0.7892156862745098
Bibus Thomas,White,0,111,0.18316831683168316
Bibus Thomas,White,1,495,0.8168316831683168
Bibus Thomas W.,Non-white,0,1,1
Birnbaum Robert,Non-white,0,103,0.34797297297297297
Birnbaum Robert,Non-white,1,193,0.652027027027027
Birnbaum Robert,White,0,110,0.24444444444444444
Birnbaum Robert,White,1,340,0.7555555555555555
Bjorkman Louise Dovre,Non-white,0,3,0.5
Bjorkman Louise Dovre,Non-white,1,3,0.5
Bjorkman Louise Dovre,White,1,1,1
Blaeser Robert,White,1,1,1
Blaeser Robert A.,Non-white,0,87,0.23387096774193547
Blaeser Robert A.,Non-white,1,285,0.7661290322580645
Blaeser Robert A.,White,0,60,0.23809523809523808
Blaeser Robert A.,White,1,192,0.7619047619047619
Blakely Timothy L.,Non-white,0,20,0.28169014084507044
Blakely Timothy L.,Non-white,1,51,0.7183098591549296
Blakely Timothy L.,White,0,40,0.20304568527918782
Blakely Timothy L.,White,1,157,0.7969543147208121
Bloomquist Timothy R.,Non-white,0,8,0.23529411764705882
Bloomquist Timothy R.,Non-white,1,26,0.7647058823529411
Bloomquist Timothy R.,White,0,140,0.2564102564102564
Bloomquist Timothy R.,White,1,406,0.7435897435897436
Bohr Gail Chang,Non-white,0,70,0.3211009174311927
Bohr Gail Chang,Non-white,1,148,0.6788990825688074
Bohr Gail Chang,White,0,36,0.3076923076923077
Bohr Gail Chang,White,1,81,0.6923076923076923
Boland Bernard E.,Non-white,0,22,0.22448979591836735
Boland Bernard E.,Non-white,1,76,0.7755102040816326
